decision_id,action,category,word,health_proposal_id,rationale,primary_sense_domain,secondary_sense_domains,already_in_kakano_144,review_status,source_note
PAPV3-HW-046,add,Health and Wellbeing,safe,HW-046,Safety and consent-adjacent foundation word.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-047,add,Health and Wellbeing,hurt,HW-047,Everyday signal that may require care.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-048,add,Health and Wellbeing,pain,HW-048,Everyday signal that may require care.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-049,add,Health and Wellbeing,nurse,HW-049,Everyday care role.,community_and_services,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-050,add,Health and Wellbeing,doctor,HW-050,Everyday care role.,community_and_services,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-051,add,Health and Wellbeing,medicine,HW-051,Everyday treatment word.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-052,add,Health and Wellbeing,clinic,HW-052,Everyday place of care.,community_and_services,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-053,add,Health and Wellbeing,hospital,HW-053,Everyday place of care.,community_and_services,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-054,add,Health and Wellbeing,patient,HW-054,Everyday care relationship word.,community_and_services,family_and_people,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-055,add,Health and Wellbeing,family,HW-055,Primary relational support word.,family_and_people,safety_and_wellbeing,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-056,add,Health and Wellbeing,friend,HW-056,Primary relational support word.,family_and_people,safety_and_wellbeing,true,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-057,add,Health and Wellbeing,emergency,HW-057,Everyday safety-and-support word.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-058,add,Health and Wellbeing,sick,HW-058,Everyday word for unwellness.,safety_and_wellbeing,feelings_and_senses,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-059,add,Health and Wellbeing,unwell,HW-059,Everyday word for unwellness.,safety_and_wellbeing,feelings_and_senses,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-060,add,Health and Wellbeing,worse,HW-060,Everyday word for a change in condition.,safety_and_wellbeing,feelings_and_senses,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-061,add,Health and Wellbeing,better,HW-061,Everyday word for a change in condition.,safety_and_wellbeing,feelings_and_senses,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-062,add,Health and Wellbeing,fever,HW-062,Common plain-language symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-063,add,Health and Wellbeing,cough,HW-063,Common plain-language symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-064,add,Health and Wellbeing,sore,HW-064,Common plain-language symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-065,add,Health and Wellbeing,headache,HW-065,Common plain-language symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-066,add,Health and Wellbeing,stomach,HW-066,Everyday body-location word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-067,add,Health and Wellbeing,throat,HW-067,Everyday body-location word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-068,add,Health and Wellbeing,dizzy,HW-068,Everyday symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-069,add,Health and Wellbeing,faint,HW-069,Everyday symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-070,add,Health and Wellbeing,bleeding,HW-070,Everyday symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-071,add,Health and Wellbeing,rash,HW-071,Everyday symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-072,add,Health and Wellbeing,vomit,HW-072,Everyday symptom word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-073,add,Health and Wellbeing,breath,HW-073,Everyday body-function word.,self_and_body,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-074,add,Health and Wellbeing,urgent,HW-074,Everyday urgency word.,safety_and_wellbeing,community_and_services,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
PAPV3-HW-075,add,Health and Wellbeing,ambulance,HW-075,Everyday emergency-access word.,community_and_services,safety_and_wellbeing,false,approved,Approved 2026-08-18 for Papawai v3; health proposal and sense mapping remain attributable review evidence.
